Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
f73d7609-aa1f-863c-b99a-f776f8e27472,1973-01-26,,999-48-9619,S99936321,X47946825X,Mrs.,Jeanice469,,Metz686,,Konopelski743,M,white,nonhispanic,F,Cupertino  California  US,645 Reinger Spur,Temple City,California,Los Angeles County,6037,91731,34.076381701330895,-118.08999117682464,14368.58,950156.31,9858
319396da-64c4-2971-2abd-14ce142ec219,1979-11-07,,999-40-8390,S99925151,X18726825X,Mrs.,Margareta320,Epifania219,Langosh790,,Jakubowski832,M,white,nonhispanic,F,Yreka  California  US,336 Rohan Parade,Brentwood,California,Contra Costa County,6013,94513,37.90522008320272,-121.64903766091257,855133.42,880765.58,72005
4870dde1-cc78-3446-3bfa-b6d0804b6489,2013-12-30,,999-72-8148,,,,Amal279,Nevada145,Crona259,,,,white,hispanic,F,East Hemet  California  US,747 Goldner Corner,Modesto,California,Stanislaus County,6099,95357,37.6644660923146,-120.92290479510677,2250.00,54487.32,34405
2e20c6fb-6387-de04-b1da-b1a56a403835,1999-12-08,,999-64-6527,S99991052,X27735077X,Ms.,Thelma273,Hettie215,Hodkiewicz467,,,,black,nonhispanic,F,Atwater  California  US,381 Zemlak Common,Huntington Park,California,Los Angeles County,6037,90001,33.96526170976884,-118.24880124093494,37160.98,530965.57,112254
5e4b5588-4272-1b46-1025-5172c7887b6c,1982-10-31,,999-80-2351,S99913693,X26502871X,Mrs.,Gayla444,Marcia467,Balistreri607,,Considine820,M,white,hispanic,F,Fallbrook  California  US,353 Cruickshank Highlands Unit 66,San Diego,California,San Diego County,6073,92173,32.90378283200514,-117.04410961352373,13102.12,621169.58,21759
38ed9ff6-859e-bede-a4e6-a82bb92f81ff,1974-12-08,,999-68-2411,S99994464,X9932581X,Mrs.,Lidia103,Clorinda310,Hartmann983,,Wuckert783,D,white,hispanic,F,Norwalk  California  US,961 Borer Fork Suite 59,Los Angeles,California,Los Angeles County,6037,90293,34.084303867656416,-118.22921056726572,400117.00,1463632.94,41555
834fb7ec-d754-95c2-a810-87726f9bda77,1916-08-08,1993-08-24,999-20-4005,S99954429,X52501185X,Mr.,Homero668,Pablo44,Llamas954,,,S,asian,hispanic,M,Santiago de los Caballeros  Santiago  DO,204 White Loaf,San Jose,California,Santa Clara County,6085,95135,37.19948415338554,-121.69464239112297,365068.77,194398.31,76833
92960644-79e3-4c7d-602a-d62d897df18f,1961-01-15,,999-59-5269,S99988014,X59927595X,Mr.,Wilfred787,Elvis145,Thompson596,,,S,white,nonhispanic,M,Daly City  California  US,665 Rath Divide Suite 8,Roseville,California,Placer County,6061,95677,38.764624567648404,-121.39661072107214,49780.52,383774.29,73015
40e4b197-6bd4-0be2-1adc-905cd7b1ba14,1998-12-07,,999-92-2505,S99943956,X48436576X,Mr.,Nicholas495,,Koss676,,,,white,hispanic,M,Glendale  California  US,614 Hartmann Terrace Unit 16,Burbank,California,Los Angeles County,6037,91504,34.18454238399115,-118.35880866589383,8100.00,953592.38,7036
727a00c6-af78-5624-94fb-df20b3139e8b,1993-12-24,,999-70-9460,S99964559,X3922106X,Mr.,Miguel815,,Espinosa298,,,S,white,hispanic,M,Bayamon  Puerto Rico  PR,1022 Abernathy Quay Apt 68,San Pasqual,California,Los Angeles County,,00000,34.1566869136274,-118.068508341057,126210.56,407327.84,151548
6e170e27-86b5-f321-a77c-b39ea7a01cdd,2026-02-25,,999-92-8857,,,,Sarina640,Brenda158,Schaefer657,,,,white,nonhispanic,F,Thousand Oaks  California  US,630 Rau Grove,Los Angeles,California,Los Angeles County,6037,90011,34.14185914119101,-118.3763630622627,890.53,0.00,49180
df9c2d92-5ee9-4f8c-609b-98ef63560637,1992-03-08,,999-15-9923,S99993266,X79172678X,Ms.,Teresa94,Almeda560,Hintz995,,,S,white,nonhispanic,F,Laguna Niguel  California  US,274 Stark Club,Long Beach,California,Los Angeles County,6037,90805,33.85391526773215,-118.13501739600864,578271.56,46538.66,97121
7dc81374-3bbc-8181-fcbf-8ea538101e56,1980-12-05,,999-90-9677,S99971502,X25601072X,Ms.,Adella39,Cami698,Fay398,,,S,white,hispanic,F,San Mateo  California  US,550 Wuckert Rapid,Oakland,California,Alameda County,6001,94577,37.80873434362699,-122.2382106733878,732647.02,1167828.46,62655
ada6ca9d-0f2c-2b13-3132-bd755c64da50,1944-03-19,,999-57-1626,S99954508,X6927184X,Mrs.,Lisabeth458,Jenae263,Herzog843,,Abbott774,M,white,hispanic,F,El Cajon  California  US,352 Marquardt Tunnel,Dinuba,California,Tulare County,6107,93618,36.500280828689874,-119.40952873458619,1224470.19,518530.91,66449
988258ab-428b-3a2c-afc4-cd802cd242f0,1987-03-05,,999-50-2500,S99970707,X42270958X,Mr.,Bryon392,Jorge203,Dickens475,,,S,white,nonhispanic,M,Ceres  California  US,1069 Dickens Run Apt 28,Seaside,California,Monterey County,6053,93955,36.586048839417565,-121.74806258623798,159912.24,17640.23,82905
05719b27-46fd-8499-43c4-d09fd41fcafd,1997-07-13,,999-49-6213,S99957495,X68420006X,Mr.,Avery919,Bertram873,Klein929,,,S,black,hispanic,M,Norwalk  California  US,988 Adams Vale,Carmichael,California,Sacramento County,6067,95608,38.663490892258494,-121.34385413845506,5500.00,100934.10,10024
aa0b1dd0-5807-ddaf-4e68-52b55d0cffe6,1998-04-08,,999-44-3868,S99990170,X49741369X,Mr.,Sonny285,Alan320,Graham902,,,,white,nonhispanic,M,San Diego  California  US,507 Dibbert Knoll,Sun Village,California,Los Angeles County,6037,93543,34.518694180342436,-118.02950193840344,85800.28,40756.71,55408
a00fad1b-3dee-b562-b928-fcbd4efc5418,1935-11-22,2013-09-05,999-77-3459,S99950573,X65337305X,Mr.,Sammie902,Davis923,Blick895,,,M,white,hispanic,M,Adelanto  California  US,989 Quitzon Trail,Upland,California,San Bernardino County,6071,91701,34.11513054970131,-117.70226285062168,191412.38,298321.85,38777
d2c19ff4-0bbf-b6e4-7325-5b5d47c0a63c,1916-08-08,,999-40-7756,S99992306,X58658888X,Mr.,Samuel331,Benjamín452,Delvalle807,,,M,asian,hispanic,M,Panama City  Panama  PA,373 Quigley Knoll Unit 7,San Jose,California,Santa Clara County,6085,95054,37.2644368214469,-122.00773652901773,231592.39,390207.25,76833
bedc9b81-fbb4-db8d-9b35-d41a04c8eb0c,2021-09-05,,999-14-5231,,,,Adrian111,Roderick835,Zulauf375,,,,other,nonhispanic,M,Daly City  California  US,1064 Mayert Light Unit 76,Laguna Woods,California,Orange County,6059,92653,33.56090729381726,-117.76464511849362,28255.33,17441.19,46129
f8c74ce3-43bb-b996-edb1-e09974da8c80,1965-04-02,,999-61-1114,S99981370,X26447614X,Mr.,Jacques50,Brad867,Schmidt332,,,D,white,nonhispanic,M,Long Beach  California  US,845 Dare Common Suite 60,Rancho Cucamonga,California,San Bernardino County,6071,91737,34.186586661791836,-117.48004029055593,17874.38,358915.98,11081
a59f16aa-9cc1-11d7-973c-ff7f39b76ea6,2004-07-29,,999-99-8878,S99937625,X57436487X,Ms.,Isabel214,Virgen207,Kautzer186,,,,asian,nonhispanic,F,Escondido  California  US,851 Jones Knoll Suite 27,San Jose,California,Santa Clara County,6085,95136,37.34784225390747,-121.84716374291816,6777.06,375615.45,18702
a49277c7-368d-7718-9071-52f05b62b456,2010-05-29,,999-16-8333,,,,Jeff859,Jimmy858,McDermott739,,,,white,nonhispanic,M,San Diego  California  US,195 Wuckert Plaza Suite 91,Sacramento,California,Sacramento County,6067,95825,38.63802203573566,-121.48983680966174,3202.58,71506.65,16245
34dc5938-72ec-c8d1-a091-10468630f504,1988-03-15,,999-13-5557,S99923326,X74944191X,Mr.,Marco Antonio298,,Benavídez820,,,M,white,hispanic,M,Santiago de los Caballeros  Santiago  DO,657 Block Estate Apt 49,East Porterville,California,Tulare County,,00000,36.052993585269945,-118.99391471648273,17270.00,1176428.92,7114
b49f0fdf-8ec6-c461-e100-15e3eab5303d,1979-11-08,,999-15-8734,S99960429,X58576114X,Mr.,Agustín529,Jacobo456,Arias66,,,M,black,hispanic,M,San Salvador  El Salvador  SV,781 Gutmann Viaduct,Los Angeles,California,Los Angeles County,6037,90247,34.101839301770305,-118.49238212632386,37145.18,79740.94,32937
459107fd-d460-9d78-43aa-26e0fb4f375f,1958-03-30,,999-91-8414,S99971264,X77654239X,Mr.,Randall756,,Will178,,,S,white,nonhispanic,M,East Foothills  California  US,691 Ledner Gate,Pleasant Hill,California,Contra Costa County,6013,94523,37.94520341750835,-122.03864934510996,199098.47,115472.44,193139
