Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
2921cb87-b6c4-50f5-a434-0cef8adfbf49,2025-05-02,,999-12-7162,,,,Lupe126,Teddy976,Stroman228,,,,white,nonhispanic,M,Cerritos  California  US,720 Mayert Throughway,Chula Vista,California,San Diego County,6073,91911,32.69117649571263,-117.0019561270773,242.60,5989.62,27414
82166713-eed3-b25f-7c96-37072fff955a,1993-07-09,,999-70-5786,S99991917,X69232733X,Mr.,Miguel815,Armando772,Villagómez416,,,M,asian,hispanic,M,Ponce  Puerto Rico  PR,1057 Feil Underpass,San Diego,California,San Diego County,6073,92037,32.9529905161406,-117.00423570459128,383690.98,202768.53,105601
2f855631-85fd-879f-e11b-0767e98574bb,2014-06-06,,999-95-1642,,,,Lorean637,,Hayes766,,,,white,nonhispanic,F,Palmdale  California  US,579 Gleichner Extension Suite 47,San Bernardino,California,San Bernardino County,6071,92407,34.01201562919401,-117.29115156502233,32353.30,11910.54,183470
f5c8c66c-1152-1d78-cbc1-afa50e5afe09,2009-05-19,,999-19-8302,S99993549,,,Arturo47,,Cedillo160,,,,asian,hispanic,M,Marigot  Saint Andrew Parish  DM,343 McClure Neck,Escondido,California,San Diego County,6073,92025,33.081762056277135,-117.01755602011514,3050.00,62625.45,4685
437c59d2-6bf3-6bf0-7429-93cb70d02a54,2013-03-25,,999-47-2224,,,,Leonora414,,Hahn503,,,,white,hispanic,F,San Francisco  California  US,416 Swift Trace Unit 23,Temescal Valley,California,Riverside County,,00000,33.806050776158656,-117.42995077173171,45447.20,3436.22,154172
ca024f8e-7f91-797f-b800-efa000fe401c,2000-12-01,,999-70-7993,S99910361,X30268751X,Ms.,Liliana922,,McCullough561,,,,white,nonhispanic,F,Fairfield  California  US,519 Haley Green,Lincoln,California,Placer County,6061,95650,38.760575143995915,-121.18660486552506,142182.07,147454.48,192729
40ae9b35-4df5-30b6-29de-731c25bb984e,2007-06-07,,999-44-5519,S99917176,,Mr.,Antonio44,,Gollum504,,,,white,hispanic,M,Santo Domingo  National District  DO,534 Larkin Trace Apt 8,Los Angeles,California,Los Angeles County,6037,90066,34.253240706137674,-118.60880563037422,4103.19,102130.34,934
30be586f-6202-1fd6-9ab2-60d8869b6770,1979-07-24,,999-69-4287,S99936679,X42973248X,Mrs.,Josefina523,,Heller342,,Howell947,M,white,nonhispanic,F,Bellflower  California  US,696 Steuber Flat Unit 24,San Jose,California,Santa Clara County,6085,95125,37.344615008717795,-121.99996609924406,152092.83,680725.13,561176
5986fb5f-e7f5-737b-36e2-558f5516adba,2001-10-04,,999-86-2633,S99918607,X26354813X,Ms.,Beatriz277,Ute382,Herzog843,,,,asian,hispanic,F,Los Angeles  California  US,1039 Pfannerstill Avenue Suite 25,San Francisco,California,San Francisco County,6075,94110,37.702583386383935,-122.40397062934126,7500.00,560335.98,12190
897f8f9b-210a-18a0-d8e7-540f4e5ac8f8,1997-04-05,,999-11-5409,S99945552,X74319435X,Mr.,Alfred550,Mauro926,Fahey393,,,M,asian,hispanic,M,Alameda  California  US,784 Olson Branch,Los Banos,California,Merced County,6047,93635,37.1111000609938,-120.85209793273432,62491.21,61570.97,89150
f4714d37-b656-16b6-b1f5-abb486961144,1983-01-27,,999-50-9566,S99935634,X38816897X,Mrs.,Lani848,Berenice603,Sanford861,,Rolfson709,M,white,nonhispanic,F,Perris  California  US,1078 Krajcik Port Apt 95,Carlsbad,California,San Diego County,6073,92056,33.09978037781786,-117.3056919269523,501985.46,765401.74,96951
a80d05cf-1815-49be-d6fc-887d96f31cb0,1973-12-25,2000-06-15,999-40-1389,S99920456,X58433421X,Mr.,Trinidad33,,Hyatt152,,,,asian,nonhispanic,M,San Francisco  California  US,252 Hansen Knoll,East Foothills,California,Santa Clara County,,00000,37.36532642662149,-121.78924671010722,61070.37,156426.09,164038
8efdf915-4fa9-a363-e9ee-a86b57cdcb50,1977-02-12,,999-87-1224,S99985985,X77855948X,Mr.,Robbie31,Marc757,Moen819,,,S,white,nonhispanic,M,Knights Landing  California  US,414 Hahn Trail,Colton,California,San Bernardino County,6071,92316,34.02702406311447,-117.29142962673632,52023.81,70355.72,27991
f07a4529-01bb-c12f-4ddd-eaaed1bc1fe6,1957-06-24,,999-49-9125,S99978515,X898935X,Ms.,Walter473,Yon80,Gislason620,,,S,white,nonhispanic,F,Hanford  California  US,633 Abshire View Suite 85,Inverness,California,Marin County,6041,94937,38.07604541249349,-122.94180344505581,458519.13,1074096.83,750370
023cb610-2d8b-c549-2883-e93e40f67d0d,1925-04-26,1990-08-27,999-57-8192,S99930300,X56322026X,Mrs.,Monet875,Carie544,Hermiston71,,Barrows492,M,asian,nonhispanic,F,Loma Linda  California  US,822 Marks Approach,Oakland,California,Alameda County,6001,94621,37.77780738363235,-122.18721185960729,919921.71,318756.40,68710
0e402405-879b-1370-69b3-6933041a1758,1955-01-10,,999-14-2607,S99989946,X17963816X,Mr.,Lucien408,,Bruen238,,,M,white,nonhispanic,M,East Palo Alto  California  US,735 Olson Key,Los Angeles,California,Los Angeles County,6037,91343,34.13862921469108,-118.21175241993102,208286.16,262462.00,680376
b934accd-b6af-0e65-cfee-b6b3925f2d28,2008-04-19,,999-17-4480,S99927083,,,Helaine42,,Dickinson688,,,,white,nonhispanic,F,Los Angeles  California  US,1065 Doyle Divide Suite 93,Isla Vista,California,Santa Barbara County,6083,93117,34.484782303775006,-120.08670550249356,3070.07,98487.49,7331
b247a988-735d-085e-f85b-18e973299da2,1963-11-27,,999-10-8346,S99941009,X58859144X,Mr.,Bert917,Kelley882,Lubowitz58,,,M,white,hispanic,M,Los Angeles  California  US,687 Osinski Trace Apt 14,Visalia,California,Tulare County,6107,93277,36.35775702937712,-119.25414754649293,265356.41,182156.54,110009
027fa181-ab65-0ae1-59f9-a15211e4781a,1973-12-25,,999-18-7413,S99926807,X29764363X,Mr.,Nicolas769,Wilmer32,Tremblay80,,,M,asian,nonhispanic,M,Keyes  California  US,309 Cummerata Esplanade,East Foothills,California,Santa Clara County,,00000,37.388736728123696,-121.8462617488365,116621.16,56938.10,164038
e01087be-cf76-3c87-011a-b0dcc846cd94,1972-02-11,,999-40-7644,S99944648,X69494728X,Mrs.,Margarita164,Antonia30,Gonzales379,,Munguía264,M,other,hispanic,F,San Jose  San Jose  CR,684 Borer Street Suite 92,Huntington Beach,California,Orange County,6059,92648,33.67989266462695,-117.9845573367484,339657.82,456607.31,87766
1a62f5ee-3ee2-6a42-acc5-64fac27e30d9,1942-07-11,2022-03-03,999-31-9894,S99932068,X16626750X,Mrs.,Chastity705,Lea264,Gibson10,,Mosciski958,M,white,hispanic,F,Chino  California  US,103 Olson Junction,East Los Angeles,California,Los Angeles County,6037,90022,33.97750128709086,-118.1367068196032,22010.60,1015682.18,12904
bd5bc58e-545c-5877-f3f5-6d59674bf5dc,1985-02-10,,999-70-9389,S99951193,X60063902X,Mrs.,Geraldine667,Nikki942,Hodkiewicz467,,Bradtke547,M,asian,hispanic,F,Los Angeles  California  US,366 Keebler Viaduct Apt 95,Encinitas,California,San Diego County,6073,92091,33.07944580785716,-117.26364924626077,305351.84,1082312.71,46734
75d71b04-6e86-945e-c1b5-9644d1d0ee34,2003-08-21,,999-72-2179,S99951267,X51471035X,Mr.,Agustín529,,Godoy454,,,,asian,hispanic,M,Juarez  Chihuahua  MX,466 Windler Lodge Unit 32,French Valley,California,Riverside County,,00000,33.55850407057993,-117.12669733394557,47599.83,71298.45,181159
514234dd-441f-ecfe-69a3-4079cc392327,1970-09-30,,999-26-7825,S99972778,X15899614X,Mrs.,Hannah56,,Daugherty69,,Kohler843,D,native,nonhispanic,F,Simi Valley  California  US,341 D'Amore Haven Apt 4,Los Angeles,California,Los Angeles County,6037,91340,34.194732146837914,-118.5928050617686,585577.24,659036.04,63075
b46269e4-f89e-086f-4e07-1c9fd091c7b3,1963-02-09,,999-24-7138,S99965018,X41432244X,Mr.,Angelo118,,Will178,,,D,white,nonhispanic,M,Los Angeles  California  US,740 Turcotte Green,Patterson,California,Stanislaus County,6099,95363,37.51626206205805,-121.16579366260034,129055.52,153408.99,35342
3098c43c-5244-3ea2-af9a-7e7a2f9d5ba4,2024-08-12,,999-83-7604,,,,Gene733,Abdul218,Hegmann834,,,,white,hispanic,M,Easton  California  US,756 Rolfson Vista,Torrance,California,Los Angeles County,6037,90504,33.7944182210715,-118.36426646929772,3559.16,3966.60,75616
ff0bfb93-0bd9-6693-080f-aa0a4a9d997e,2026-03-08,,999-95-1332,,,,Billy698,Maurice742,Schroeder447,,,,white,nonhispanic,M,Cudahy  California  US,600 Wuckert Quay,Mariposa County,California,Mariposa County,6043,95338,37.55262096397797,-120.02283603391554,1558.98,0.00,53732
b45561d2-b0f0-2822-9944-fddb6b156e4e,1979-09-24,,999-26-5266,S99923285,X58817360X,Mr.,Carlton317,Clemente531,Dietrich576,,,M,white,nonhispanic,M,South Pasadena  California  US,1071 McKenzie Promenade,Santa Ana,California,Orange County,6059,92701,33.775330420789906,-117.85516502591933,167619.56,151000.43,55945
854b4e01-8c6f-10e1-5014-94131acb1c16,1943-01-06,,999-42-2648,S99934773,X64496390X,Mrs.,Tonia627,Claudia969,Sawayn19,,Moore224,M,white,nonhispanic,F,South Gate  California  US,603 King Rue,Whittier,California,Los Angeles County,6037,91745,33.96991934858479,-118.0691478785188,335800.83,990066.41,26746
91d2972e-60e3-290a-d65e-eda2c933a9f5,2011-04-14,,999-92-6827,,,,Laurence43,,Bins636,,,,asian,nonhispanic,M,Haiphong  Kiến An  VN,823 Hilpert Meadow Apt 89,Oceanside,California,San Diego County,6073,92081,33.15333768274252,-117.29317136689188,2348.06,59475.53,5563
b1e881f4-58eb-3cad-7f95-a2be07826d1f,1942-07-11,2021-03-16,999-86-3843,S99924832,X17989416X,Mrs.,Mireille557,Kelsi424,Nolan344,,Windler79,D,white,hispanic,F,San Lorenzo  California  US,775 Leffler Ferry,East Los Angeles,California,Los Angeles County,6037,90022,33.976737770726025,-118.16258227551297,24443.49,1525624.40,12904
704f71e1-526b-017e-4f69-957276978fcd,2021-10-21,,999-55-1224,,,,Elbert916,,Altenwerth646,,,,white,nonhispanic,M,Richmond  California  US,245 Langosh Overpass Unit 80,Bakersfield,California,Kern County,6029,93306,35.42579828690061,-118.99755052887622,694.26,16486.44,41361
463ccffc-5cc3-b6d9-283e-d472f308ede3,1995-10-31,,999-44-1402,S99960129,X44907156X,Mr.,Curt84,Fernando603,Von197,,,M,white,nonhispanic,M,Bakersfield  California  US,350 O'Reilly Extension,South San Francisco,California,San Mateo County,6081,94128,37.6717404710826,-122.37500001559683,94716.97,19722.03,52457
c071b388-70ad-ecfd-cf8a-463628cc8c6a,2025-02-15,,999-73-4440,,,,Kathy623,Jasmin506,Emard19,,,,black,nonhispanic,F,Clearlake  California  US,791 Dibbert Wynd Apt 86,Los Angeles,California,Los Angeles County,6037,90071,34.03375209561928,-118.27474072945637,100.00,5546.13,35958
a2dbbfa3-2432-e7f7-c245-b294a45bf95e,2016-12-12,,999-91-3664,,,,Duane703,,Kessler503,,,,white,nonhispanic,M,Sacramento  California  US,612 Dibbert Common Apt 6,San Marcos,California,San Diego County,6073,92024,33.22287015248591,-117.17531387119274,2260.16,46712.92,1619
eed2f5e9-599d-e53a-d01d-dd94f6990c43,1972-07-13,,999-81-5456,S99948591,X81455325X,Mr.,Kristopher775,,Zieme486,,,S,black,nonhispanic,M,National City  California  US,354 Robel Corner Apt 45,Bay Point,California,Contra Costa County,6013,94565,37.98103694702106,-121.89910939277878,202989.64,424510.15,182857
